iter	Passed	Remaining
0	47	47117
1	47	23743
2	47	15924
3	48	12016
4	48	9673
5	48	8109
6	49	6992
7	49	6151
8	49	5495
9	50	4971
10	50	4542
11	50	4186
12	51	3882
13	51	3623
14	51	3398
15	52	3201
16	52	3027
17	52	2874
18	52	2735
19	53	2611
20	53	2498
21	53	2396
22	54	2302
23	54	2217
24	54	2138
25	55	2065
26	55	1997
27	55	1934
28	56	1875
29	56	1821
30	56	1770
31	56	1723
32	57	1677
33	57	1635
34	57	1595
35	58	1557
36	58	1521
37	58	1488
38	59	1455
39	59	1425
40	59	1396
41	59	1368
42	60	1341
43	60	1316
44	60	1291
45	61	1268
46	61	1246
47	61	1225
48	62	1205
49	62	1186
50	62	1167
51	63	1148
52	63	1131
53	63	1114
54	63	1098
55	64	1082
56	64	1067
57	64	1053
58	65	1038
59	65	1025
60	65	1011
61	66	999
62	66	986
63	66	974
64	66	963
65	67	951
66	67	940
67	67	930
68	68	919
69	68	909
70	68	899
71	69	889
72	69	880
73	69	871
74	69	862
75	70	853
76	70	845
77	70	837
78	71	829
79	71	821
80	71	813
81	72	806
82	72	797
83	72	790
84	72	783
85	73	776
86	73	769
87	73	763
88	73	756
89	74	750
90	74	744
91	74	738
92	75	733
93	75	727
94	75	721
95	76	716
96	76	710
97	76	705
98	76	700
99	77	695
100	77	690
101	77	685
102	78	680
103	78	676
104	78	671
105	79	666
106	79	662
107	79	658
108	80	653
109	80	649
110	80	645
111	80	641
112	81	637
113	81	633
114	81	629
115	82	625
116	82	621
117	82	617
118	82	614
119	83	610
120	83	606
121	83	602
122	84	599
123	84	600
124	85	597
125	85	593
126	85	590
127	86	587
128	86	584
129	86	581
130	87	578
131	87	576
132	87	573
133	88	570
134	88	567
135	88	564
136	89	562
137	89	559
138	89	556
139	90	553
140	90	551
141	90	547
142	90	545
143	91	542
144	91	540
145	91	537
146	92	535
147	92	533
148	92	530
149	93	528
150	93	526
151	93	523
152	94	521
153	94	519
154	94	517
155	95	515
156	95	513
157	95	511
158	96	509
159	96	507
160	96	504
161	97	502
162	97	500
163	97	498
164	98	496
165	98	494
166	98	492
167	99	490
168	99	488
169	99	486
170	99	484
171	100	482
172	100	480
173	100	478
174	101	476
175	101	474
176	101	472
177	101	470
178	102	469
179	102	467
180	102	465
181	103	463
182	103	461
183	103	460
184	104	458
185	104	456
186	104	455
187	104	453
188	105	451
189	105	450
190	105	448
191	106	446
192	106	445
193	106	443
194	107	442
195	107	440
196	107	438
197	107	437
198	108	435
199	108	434
200	108	432
