iter	Passed	Remaining
0	1	104
1	2	100
2	2	95
3	3	87
4	4	86
5	5	84
6	6	83
7	7	82
8	8	81
9	8	79
10	9	79
11	10	78
12	11	77
13	12	76
14	13	75
15	14	74
16	15	73
17	15	72
18	16	71
19	17	70
20	18	69
21	19	68
22	20	67
23	20	66
24	21	65
25	22	64
26	23	64
27	24	63
28	25	62
29	26	61
30	27	61
31	28	60
32	29	59
33	29	58
34	30	57
35	31	56
36	32	55
37	33	54
38	34	53
39	35	52
40	35	51
41	36	50
42	37	49
43	37	48
44	38	47
45	39	46
46	40	45
47	41	44
48	42	43
49	42	42
50	43	41
51	44	41
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	34
59	51	34
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	56	28
66	56	28
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	61	22
73	63	22
74	63	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	68	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	73	11
87	74	10
88	74	9
89	75	8
90	76	7
91	76	6
92	77	5
93	77	4
94	78	4
95	79	3
96	79	2
97	80	1
98	80	0
99	81	0
